Name, Artist, ReleaseYear
Power Of The Dollar, 50 Cent, 2000
50 Cent Is The Future, 50 Cent, 2002
Guess Who's Back?, 50 Cent, 2002
No Mercy. No Fear, 50 Cent, 2002
Get Rich Or Die Tryin', 50 Cent, 2003
The New Breed, 50 Cent, 2003
The Massacre, 50 Cent, 2005
Get Rich Or Die Tryin', 50 Cent, 2005
Curtis, 50 Cent, 2007
War Angel LP, 50 Cent, 2009
Forever King, 50 Cent, 2009
Before I Self Destruct, 50 Cent, 2009
The Big 10, 50 Cent, 2011
The Lost Tape, 50 Cent, DRAMA
5 (Murder By Numbers), 50 Cent, 2012
Animal Ambition, 50 Cent, 2014
The Kanan Tape, 50 Cent, 2015
Street King Immortal, 50 Cent, 2016
Misc: 50 Cent, 50 Cent, unk
Deep Purple, Asap Rocky, 2011
Live.Love.A$ap, Asap Rocky, 2011
Long.Live.A$ap, Asap Rocky, 2013
At.Long.Last.A$AP, Asap Rocky, 2015
Misc: Asap Rocky, Asap Rocky, unk
Music For Earthworms, Aesop Rock, 1997
Appleseed, Aesop Rock, 1999
Float, Aesop Rock, 2000
Labor Days, Aesop Rock, 2001
Daylight, Aesop Rock, 2002
Bazooka Tooth, Aesop Rock, 2003
Fast Cars. Danger. Fire And Knives, Aesop Rock, 2005
None Shall Pass, Aesop Rock, 2007
Skelethon, Aesop Rock, 2012
Cat Food, Aesop Rock, 2015
The Impossible Kid, Aesop Rock, 2016
Misc: Aesop Rock, Aesop Rock, unk
Dangerously In Love, Beyonce Knowles, 2003
The Fighting Temptations, Beyonce Knowles, 2003
B'day, Beyonce Knowles, 2006
B'day Deluxe Edition, Beyonce Knowles, 2007
I Am... Sasha Fierce (Deluxe Edition), Beyonce Knowles, 2008
I Am... Sasha Fierce - The Bonus Tracks, Beyonce Knowles, 2009
4, Beyonce Knowles, 2011
Beyonc̩, Beyonce Knowles, 2013
Lemonade, Beyonce Knowles, 2016
Misc: Beyonce Knowles, Beyonce Knowles, unk
Finally Famous Vol. 2: UKNOWBIGSEAN, Big Sean, 2009
Finally Famous Vol. 3: BIG, Big Sean, 2010
Finally Famous: The Album, Big Sean, 2011
Detroit, Big Sean, 2012
Hall Of Fame, Big Sean, 2013
Dark Sky Paradise, Big Sean, 2015
I Decided., Big Sean, 2017
Misc: Big Sean, Big Sean, unk
Lifestylez Ov Da Poor and Dangerous, Big L, 1995
The Big Picture, Big L, 2000
Harlem's Finest: A Freestyle History (Vol. I & Ii), Big L, 2003
The Archives 1996-2000, Big L, 2006
Misc: Big L, Big L, unk
10 Day, Chance The Rapper, 2012
Acid Rap, Chance The Rapper, 2013
Coloring Book, Chance The Rapper, 2016
Merry Christmas Lil' Mama, Chance The Rapper, JEREMIH
Misc: Chance The Rapper, Chance The Rapper, unk
Devils Night, D12, 2001
D12 World, D12, 2004
Misc: D12, D12, unk
Detroit State Of Mind, Danny Brown, 2007
Browntown, Danny Brown, 2009
It's A Art, Danny Brown, 2010
Detroit State Of Mind 4, Danny Brown, 2010
The Hybrid, Danny Brown, 2010
The Hybrid: Cutting Room Floor, Danny Brown, 2010
XXX, Danny Brown, 2011
Old, Danny Brown, 2013
Atrocity Exhibition, Danny Brown, 2016
Misc: Danny Brown, Danny Brown, unk
Nostalgic 64, Denzel Curry, 2013
32 Zel / Planet Shrooms, Denzel Curry, 2015
Imperial, Denzel Curry, 2016
Misc: Denzel Curry, Denzel Curry, unk
Unleashed & Unreleased, DMX, 1998
It's Dark And Hell Is Hot, DMX, 1998
Flesh Of My Flesh. Blood Of My Blood, DMX, 1998
...And Then There Was X, DMX, 1999
The 24th Letter, DMX, 2001
The Great Depression, DMX, 2001
Grand Champ, DMX, 2003
Year Of The Dog Again, DMX, 2006
The Weigh In, DMX, 2012
Undisputed, DMX, 2012
Redemption Of The Beast, DMX, 2015
Misc: DMX, DMX, unk
The Chronic, Dr. Dre, 1992
The Aftermath, Dr. Dre, 1996
2001, Dr. Dre, 1999
Compton, Dr. Dre, 2015
Misc: Dr. Dre, Dr. Dre, unk
Room For Improvement, Drake, 2006
Comeback Season, Drake, 2007
So Far Gone, Drake, 2009
So Far Gone, Drake, 2009
Thank Me Later, Drake, 2010
Young Sweet Jones, Drake, 2010
Take Care, Drake, 2011
Nothing Was The Same, Drake, 2013
If You're Reading This It's Too Late, Drake, 2015
What A Time To Be Alive, Drake, FUTURE
Views, Drake, 2016
More Life, Drake, 2017
Misc: Drake, Drake, unk
Earl, Earl Sweatshirt, 2010
Doris, Earl Sweatshirt, 2013
I Don't Like Shit. I Don't Go Outside, Earl Sweatshirt, 2015
Misc: Earl Sweatshirt, Earl Sweatshirt, unk
Infinite, Eminem, 1996
Slim Shady EP, Eminem, 1998
Slim Shady LP, Eminem, 1999
The Marshall Mathers LP, Eminem, 2000
The Eminem Show, Eminem, 2002
Straight From The Lab, Eminem, 2003
Encore, Eminem, 2004
Curtain Call, Eminem, 2005
Eminem Presents The Re-Up, Eminem, 2006
Relapse, Eminem, 2009
Relapse: Refill, Eminem, 2009
Recovery, Eminem, 2010
Straight From The Vault, Eminem, 2011
The Marshall Mathers LP 2, Eminem, 2013
Shady XV, Eminem, 2014
Misc: Eminem, Eminem, unk
The Come Up, J. Cole, 2007
The Warm Up, J. Cole, 2009
