Region, stat_length, stat_line_length, stat_line_avg_phones, stat_word_phones, stat_word_avg_chars, tonality_end_rhyme_mean, tonality_end_rhyme_stdev, tonality_repeat_rhyme_mean, tonality_repeat_rhyme_stdev, tfidf_show, tfidf_yea, tfidf_money, tfidf_move, tfidf_go, tfidf_still, tfidf_aint, tfidf_death, tfidf_young, tfidf_littl, tfidf_better, tfidf_black, tfidf_whole, tfidf_rich, tfidf_bout, tfidf_ta, tfidf_real, tfidf_good, tfidf_hit, tfidf_around, tfidf_yo, tfidf_get, tfidf_ya, tfidf_big, tfidf_rock, tfidf_watch, tfidf_game, tfidf_know, tfidf_new, tfidf_world, tfidf_day, tfidf_name, tfidf_tri, tfidf_like, tfidf_die, tfidf_gettin, tfidf_gun, tfidf_wit, tfidf_night, tfidf_yall, tfidf_mean, tfidf_em, tfidf_nigga, tfidf_hard, tfidf_back, tfidf_realli, tfidf_see, tfidf_street, tfidf_homi, tfidf_girl, tfidf_even, tfidf_gon, tfidf_god, tfidf_leav, tfidf_got, tfidf_ever, tfidf_told, tfidf_ass, tfidf_run, tfidf_never, tfidf_let, tfidf_put, tfidf_hand, tfidf_come, tfidf_boy, tfidf_snoop, tfidf_g, tfidf_oh, tfidf_could, tfidf_keep, tfidf_thing, tfidf_smoke, tfidf_head, tfidf_think, tfidf_fuckin, tfidf_pleas, tfidf_love, tfidf_dont, tfidf_feel, tfidf_one, tfidf_ask, tfidf_right, tfidf_done, tfidf_bitch, tfidf_pussi, tfidf_boat, tfidf_wan, tfidf_eye, tfidf_would, tfidf_dogg, tfidf_two, tfidf_start, tfidf_live, tfidf_call, tfidf_way, tfidf_mama, tfidf_damn, tfidf_tell, tfidf_tryna, tfidf_life, tfidf_diamond, tfidf_motherfuck, tfidf_babi, tfidf_peopl, tfidf_yeah, tfidf_beat, tfidf_hold, tfidf_gangsta, tfidf_made, tfidf_look, tfidf_niggaz, tfidf_ride, tfidf_say, tfidf_us, tfidf_uh, tfidf_ill, tfidf_rap, tfidf_give, tfidf_mind, tfidf_fuck, tfidf_high, tfidf_thug, tfidf_cant, tfidf_im, tfidf_want, tfidf_need, tfidf_everi, tfidf_shit, tfidf_hoe, tfidf_turn, tfidf_lil, tfidf_na, tfidf_make, tfidf_song, tfidf_alway, tfidf_take, tfidf_play, tfidf_hey, tfidf_stop, tfidf_stay, tfidf_said, tfidf_man, tfidf_light, tfidf_well, tfidf_drip, tfidf_face, tfidf_caus, tfidf_time, tfidf_everyth, tfidf_dream, tfidf_talk
NE, 71, 8.80281690141, 3.06313754712, 3.03215434084, 3.6448, 0.662442108835, 0.388488973433, 0.109780454679, 0.0678680156937, 0, 0, 0, 0, 1, 0, 8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 7, 1, 0, 0, 2, 2, 1, 0, 0, 0, 1, 1, 11, 0, 0, 0, 10, 2, 7, 0, 4, 13, 1, 0, 2, 5, 0, 1, 0, 1, 1, 0, 2, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 1, 0, 0, 13, 0, 2, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 8, 0, 0, 1, 1, 1, 1, 4, 0, 3, 0, 6, 3, 0, 0, 6, 0, 0, 0, 1, 3, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3
NE, 63, 9.39682539683, 3.15483065582, 3.10685941043, 3.7972972973, 0.817988002228, 0.291482243004, 0.142771663701, 0.0543235893706, 0, 0, 1, 0, 0, 1, 10, 0, 0, 1, 0, 0, 2, 2, 0, 1, 2, 0, 0, 0, 3, 6, 2, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 4, 0, 1, 0, 2, 0, 1, 0, 2, 17, 2, 2, 2, 1, 0, 0, 0, 0, 3, 1, 2, 5, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 1, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 8, 0, 1, 0, 0, 3, 0, 0, 2, 1, 0, 0, 1, 1, 2, 3, 5, 0, 0, 0, 8, 0, 0, 0, 2, 1, 0, 1, 2, 1, 0, 1, 2, 0, 3, 0, 0, 0, 0, 2, 0, 0, 0, 0
NE, 66, 9.63636363636, 3.33234581075, 3.27865404837, 4.04245283019, 0.440571374254, 0.39343595122, 0.123246031475, 0.0616561308453, 0, 0, 4, 0, 2, 0, 4, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 2, 3, 5, 1, 0, 0, 2, 3, 8, 0, 0, 0, 1, 0, 12, 0, 0, 0, 0, 0, 1, 0, 3, 9, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 1, 3, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 1, 3, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 1, 0, 3, 1, 0, 2
NE, 48, 8.64583333333, 2.93357590037, 2.9381127451, 3.5421686747, 0.468638958758, 0.37397593711, 0.143515151963, 0.0857496487169, 4, 0, 0, 0, 4, 0, 1, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 1, 1, 0, 0, 0, 2, 10, 2, 2, 0, 3, 0, 0, 0, 1, 3, 0, 0, 8, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 4, 0, 3, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 2, 0, 2, 0, 1, 0, 0, 1, 3, 2, 2, 0, 8, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 2, 0, 2, 8, 0, 0, 0, 0, 0, 2, 0, 0, 0
NE, 61, 10.262295082, 3.05538647752, 3.05438879914, 3.67891373802, 0.580198367341, 0.382498638567, 0.1506013819, 0.0728758131482, 0, 0, 1, 0, 2, 1, 5, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 3, 0, 1, 10, 0, 1, 1, 1, 0, 6, 1, 1, 0, 0, 0, 7, 1, 0, 1, 3, 0, 2, 0, 1, 17, 0, 4, 0, 2, 2, 0, 0, 0, 3, 0, 1, 6, 1, 2, 6, 2, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 6, 2, 2, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 0, 4, 2, 0, 0, 9, 2, 0, 0, 9, 1, 1, 0, 5, 1, 0, 0, 2, 0, 0, 0, 0, 1, 3, 0, 1, 0, 1, 2, 0, 0, 0, 1
NE, 65, 10.0615384615, 2.82334784622, 2.85435897436, 3.70642201835, 0.263229335199, 0.379676547392, 0.0704075221815, 0.0673023293201, 0, 0, 2, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 1, 3, 1, 0, 0, 0, 0, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 4, 0, 1, 2, 0, 0, 1, 0, 0, 0, 12, 1, 0, 0, 0, 5, 0, 2, 4, 3, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 0, 1, 1, 0, 1, 0, 2, 0, 13, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 4, 0, 0, 0, 0, 1, 3, 0, 1, 1, 5, 1, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 0, 6, 2, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 2, 0, 7, 0, 1, 0, 0, 1, 3, 0, 0, 0
NE, 38, 8.31578947368, 3.13602818965, 3.11199575372, 3.8164556962, 0.507309521988, 0.438514227847, 0.100631220916, 0.0650345434717, 0, 0, 1, 0, 4, 0, 3, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 4, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 1, 2, 2, 0, 0, 0, 0, 0, 18, 0, 1, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 0, 2, 0, 2, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2, 1, 0, 2, 2, 2, 0, 0, 2, 0, 0, 0, 0, 2, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1
NE, 58, 6.12068965517, 3.05931171319, 3.06450094162, 3.81126760563, 0.286566968385, 0.342211910775, 0.109326006002, 0.108855082807, 0, 0, 0, 0, 1, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3, 0, 1, 0, 0, 1, 6, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 1, 0, 6, 1, 0, 1, 0, 0, 2, 1, 0, 2, 0, 0, 3, 0, 0, 1, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 5, 2, 1, 0, 2, 2, 0, 0, 0, 1, 0, 6, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 1, 3, 0, 1, 0, 0, 2, 0, 5, 0, 3, 0, 0, 0, 2, 4, 0, 0, 3, 0, 0, 0, 2, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0
NE, 60, 9.6, 2.98266892829, 3.00561465721, 3.68055555556, 0.253635781008, 0.368801599124, 0.10156670854, 0.0794305816405, 0, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 5, 0, 2, 1, 0, 0, 1, 2, 3, 0, 0, 0, 0, 7, 5, 6, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 6, 2, 0, 0, 0, 4, 0, 1, 4, 1, 0, 4, 0, 3, 1, 0, 2, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0, 4, 2, 0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 0, 0, 0, 0, 8, 4, 0, 0, 0, 4, 4, 1, 0, 7, 0, 0, 0, 3, 1, 1, 0, 4, 1, 0, 0, 2, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 6, 4, 0, 0, 1
NE, 53, 10.2452830189, 3.05622675871, 3.04545454545, 3.60773480663, 0.567317503016, 0.378707592434, 0.114218676495, 0.05241410978, 0, 0, 1, 1, 0, 2, 5, 0, 0, 8, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 4, 0, 0, 0, 1, 2, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 6, 1, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 9, 0, 0, 0, 1, 1, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0, 0, 6, 8, 1, 0, 3, 0, 0, 0, 3, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 1, 1, 1, 0
